2026-04-22 15:42:44 | captcha_ocr          | WARNING  | [CaptchaOCR] ddddocr未安装，OCR功能不可用
2026-04-22 15:42:44 | root                 | INFO     | ================================================================================
2026-04-22 15:42:44 | root                 | INFO     | CloudPortalService 启动
2026-04-22 15:42:44 | root                 | INFO     | 版本: 1.78
2026-04-22 15:42:44 | root                 | INFO     | sys.frozen: Not set
2026-04-22 15:42:44 | root                 | INFO     | __compiled__: False
2026-04-22 15:42:44 | root                 | INFO     | sys.executable: D:\local_pysys\.venv\Scripts\python.exe
2026-04-22 15:42:44 | root                 | INFO     | 运行目录: D:\local_pysys\cloud_portal_service
2026-04-22 15:42:44 | root                 | INFO     | 日志文件: D:\local_pysys\cloud_portal_service\service.log
2026-04-22 15:42:44 | root                 | INFO     | GUI服务地址: 172.32.48.239:9000
2026-04-22 15:42:44 | root                 | INFO     | 后端WebSocket地址: http://127.0.0.1:8000
2026-04-22 15:42:44 | root                 | INFO     | 云门户地址: http://api.hngsetc.com
2026-04-22 15:42:44 | root                 | INFO     | 源IP配置: ethernet_ip=172.32.48.239, ethernet2_ip=10.143.164.29
2026-04-22 15:42:44 | root                 | INFO     | ================================================================================
2026-04-22 15:45:04 | captcha_ocr          | WARNING  | [CaptchaOCR] ddddocr未安装，OCR功能不可用
2026-04-22 15:45:04 | root                 | INFO     | ================================================================================
2026-04-22 15:45:04 | root                 | INFO     | CloudPortalService 启动
2026-04-22 15:45:04 | root                 | INFO     | 版本: 1.78
2026-04-22 15:45:04 | root                 | INFO     | sys.frozen: Not set
2026-04-22 15:45:04 | root                 | INFO     | __compiled__: False
2026-04-22 15:45:04 | root                 | INFO     | sys.executable: D:\local_pysys\.venv\Scripts\python.exe
2026-04-22 15:45:04 | root                 | INFO     | 运行目录: D:\local_pysys\cloud_portal_service
2026-04-22 15:45:04 | root                 | INFO     | 日志文件: D:\local_pysys\cloud_portal_service\service.log
2026-04-22 15:45:04 | root                 | INFO     | GUI服务地址: 172.32.48.239:9000
2026-04-22 15:45:04 | root                 | INFO     | 后端WebSocket地址: http://127.0.0.1:8000
2026-04-22 15:45:04 | root                 | INFO     | 云门户地址: http://api.hngsetc.com
2026-04-22 15:45:04 | root                 | INFO     | 源IP配置: ethernet_ip=172.32.48.239, ethernet2_ip=10.143.164.29
2026-04-22 15:45:04 | root                 | INFO     | ================================================================================
