# GET /gateway/ai-audit-server/external/audit/getOrderInfoByOrderId?order_id=GDA2026042408033800&with_order=true HTTP/1.1 中的 order_id 为工单编号，修改工单编号便可以查看对应的工单详情
GET /gateway/ai-audit-server/external/audit/getOrderInfoByOrderId?order_id=GDA2026042408033800&with_order=true HTTP/1.1
Host: twaudit.hngsetc.com
Pragma: no-cache
Cache-Control: no-cache
Accept: application/json, text/plain, */*
DNT: 1
Authorization: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1aWQiOiJlMDYzMmNhOWNjY2Q0YTUzYjI5ZWE3OTliNTFjM2Y0YiIsImF1ZCI6ImMzYTkyYjY5NjNkODRhM2U4MjdmM2Q3OTExOWEyN2E1IiwiaXNzIjoib2F1dGgiLCJybmQiOiI1NDl4N3c3MyIsImV4cCI6MTc3NzM0MzEwMSwiaWF0IjoxNzc3MjU2NzAxfQ.yBIUFA4l_-4P7ppKZ-A_Yjn_cOfcQsk6jXWe3CTFvao
User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.105 Safari/537.36 Edg/84.0.522.49
Referer: http://twaudit.hngsetc.com/aiAuditWeb/index.html?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1aWQiOiJlMDYzMmNhOWNjY2Q0YTUzYjI5ZWE3OTliNTFjM2Y0YiIsImF1ZCI6ImMzYTkyYjY5NjNkODRhM2U4MjdmM2Q3OTExOWEyN2E1IiwiaXNzIjoib2F1dGgiLCJybmQiOiI1NDl4N3c3MyIsImV4cCI6MTc3NzM0MzEwMSwiaWF0IjoxNzc3MjU2NzAxfQ.yBIUFA4l_-4P7ppKZ-A_Yjn_cOfcQsk6jXWe3CTFvao&refresh_token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1aWQiOiJlMDYzMmNhOWNjY2Q0YTUzYjI5ZWE3OTliNTFjM2Y0YiIsImF1ZCI6ImMzYTkyYjY5NjNkODRhM2U4MjdmM2Q3OTExOWEyN2E1IiwiaXNzIjoib2F1dGgiLCJybmQiOiI3M2E5MncwaSIsImlydCI6IjEiLCJleHAiOjE3Nzk4NDg3MDEsImlhdCI6MTc3NzI1NjcwMX0.4CuXN5583Nu4PMzpPFS1WORcGyOV3RWficVFQqT5THE
Accept-Encoding: gzip, deflate
Accept-Language: zh-CN,zh;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6
响应体：
